Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C9,100nF,C_0402_1005Metric,70.05,-80.9625,90.0,bottom
C10,100nF,C_0402_1005Metric,79.455709,-80.9625,90.0,bottom
C11,100nF,C_0402_1005Metric,80.01887,-91.28125,270.0,bottom
C12,100nF,C_0402_1005Metric,78.923466,-91.28125,270.0,bottom
C13,100nF,C_0402_1005Metric,71.2375,-91.28125,270.0,bottom
C14,10uF,C_0402_1005Metric,69.05625,-80.9625,90.0,bottom
C15,100nF,C_0402_1005Metric,70.05,-91.28125,270.0,bottom
C16,1uF,C_0402_1005Metric,63.036904,-80.956254,270.0,bottom
C17,1uF,C_0402_1005Metric,67.999404,-80.978144,90.0,bottom
C_USBSHIELD1,4.7nF,C_0402_1005Metric,70.9676,-49.6316,90.0,bottom
D1,D_Small,D_SOD-123F,82.55,-112.7125,90.0,bottom
D2,D_Small,D_SOD-123F,58.7375,-55.753,90.0,bottom
D3,D_Small,D_SOD-123F,63.5,-74.6125,90.0,bottom
D4,D_Small,D_SOD-123F,65.784192,-93.651705,90.0,bottom
D5,D_Small,D_SOD-123F,70.515675,-112.726368,90.0,bottom
D6,D_Small,D_SOD-123F,58.7375,-131.7625,90.0,bottom
D7,D_Small,D_SOD-123F,77.7875,-55.5625,90.0,bottom
D8,D_Small,D_SOD-123F,87.3125,-74.6125,90.0,bottom
D9,D_Small,D_SOD-123F,92.075,-93.6625,90.0,bottom
D10,D_Small,D_SOD-123F,101.6,-112.7125,90.0,bottom
D11,D_Small,D_SOD-123F,82.55,-131.7625,90.0,bottom
D12,D_Small,D_SOD-123F,96.8375,-55.5625,90.0,bottom
D13,D_Small,D_SOD-123F,106.3625,-74.6125,90.0,bottom
D14,D_Small,D_SOD-123F,111.125,-93.6625,90.0,bottom
D15,D_Small,D_SOD-123F,120.65,-112.7125,90.0,bottom
D16,D_Small,D_SOD-123F,86.614,-131.7625,90.0,bottom
D17,D_Small,D_SOD-123F,115.8875,-55.5625,90.0,bottom
D18,D_Small,D_SOD-123F,125.4125,-74.6125,90.0,bottom
D19,D_Small,D_SOD-123F,130.175,-93.6625,90.0,bottom
D20,D_Small,D_SOD-123F,139.7,-112.7125,90.0,bottom
D21,D_Small,D_SOD-123F,106.3625,-131.7625,90.0,bottom
D22,D_Small,D_SOD-123F,134.9375,-55.5625,90.0,bottom
D23,D_Small,D_SOD-123F,144.4625,-74.6125,90.0,bottom
D24,D_Small,D_SOD-123F,149.225,-93.6625,90.0,bottom
D25,D_Small,D_SOD-123F,158.75,-112.7125,90.0,bottom
D26,D_Small,D_SOD-123F,142.08125,-131.7625,90.0,bottom
D27,D_Small,D_SOD-123F,153.9875,-55.5625,90.0,bottom
D28,D_Small,D_SOD-123F,163.5125,-74.6125,90.0,bottom
D29,D_Small,D_SOD-123F,168.275,-93.6625,90.0,bottom
D30,D_Small,D_SOD-123F,177.8,-112.7125,90.0,bottom
D31,D_Small,D_SOD-123F,167.48125,-131.7625,90.0,bottom
D32,D_Small,D_SOD-123F,173.0375,-55.5625,90.0,bottom
D33,D_Small,D_SOD-123F,182.5625,-74.6125,90.0,bottom
D34,D_Small,D_SOD-123F,187.325,-93.6625,90.0,bottom
D35,D_Small,D_SOD-123F,196.85,-112.7125,90.0,bottom
D36,D_Small,D_SOD-123F,196.088,-131.7625,90.0,bottom
D37,D_Small,D_SOD-123F,192.0875,-55.5625,90.0,bottom
D38,D_Small,D_SOD-123F,201.6125,-74.6125,90.0,bottom
D39,D_Small,D_SOD-123F,206.375,-93.6625,90.0,bottom
D40,D_Small,D_SOD-123F,215.9,-112.7125,90.0,bottom
D41,D_Small,D_SOD-123F,210.34375,-131.7625,90.0,bottom
D42,D_Small,D_SOD-123F,239.7252,-112.6744,90.0,bottom
D43,D_Small,D_SOD-123F,211.1375,-55.5625,90.0,bottom
D44,D_Small,D_SOD-123F,220.6625,-74.6125,90.0,bottom
D45,D_Small,D_SOD-123F,225.425,-93.6625,90.0,bottom
D46,D_Small,D_SOD-123F,266.7,-112.7125,90.0,bottom
D47,D_Small,D_SOD-123F,234.15625,-131.7625,90.0,bottom
D48,D_Small,D_SOD-123F,274.6375,-93.6625,90.0,bottom
D49,D_Small,D_SOD-123F,230.1875,-55.5625,90.0,bottom
D50,D_Small,D_SOD-123F,239.7125,-74.6125,90.0,bottom
D51,D_Small,D_SOD-123F,244.475,-93.6625,90.0,bottom
D52,D_Small,D_SOD-123F,287.3375,-112.7125,90.0,bottom
D53,D_Small,D_SOD-123F,249.2375,-131.7625,90.0,bottom
D54,D_Small,D_SOD-123F,249.2375,-58.7375,90.0,bottom
D55,D_Small,D_SOD-123F,274.6375,-74.6125,90.0,bottom
D56,D_Small,D_SOD-123F,287.3375,-93.6625,90.0,bottom
D57,D_Small,D_SOD-123F,306.3875,-112.7125,90.0,bottom
D58,D_Small,D_SOD-123F,268.2875,-131.7625,90.0,bottom
D59,D_Small,D_SOD-123F,273.05,-58.7375,90.0,bottom
D60,D_Small,D_SOD-123F,287.3375,-74.6125,90.0,bottom
D61,D_Small,D_SOD-123F,306.3875,-93.6625,90.0,bottom
D62,D_Small,D_SOD-123F,325.4375,-112.7125,90.0,bottom
D63,D_Small,D_SOD-123F,277.01875,-131.7625,90.0,bottom
D64,D_Small,D_SOD-123F,287.3375,-55.5625,90.0,bottom
D65,D_Small,D_SOD-123F,306.3875,-74.6125,90.0,bottom
D66,D_Small,D_SOD-123F,325.4375,-93.6625,90.0,bottom
D67,D_Small,D_SOD-123F,306.3875,-131.7625,90.0,bottom
D68,D_Small,D_SOD-123F,306.3875,-55.5625,90.0,bottom
D69,D_Small,D_SOD-123F,325.4375,-74.425,90.0,bottom
D70,D_Small,D_SOD-123F,325.4375,-55.5625,90.0,bottom
D71,D_Small,D_SOD-123F,325.4375,-131.7625,90.0,bottom
D72,PRTR5V0U2X,SOT-143,76.708,-67.6275,180.0,bottom
F1,500mA,Fuse_1206_3216Metric,69.596,-65.0875,270.0,bottom
J2,Conn_01x04_MountingPin,JST-SR-4,96.3125,-65.0875,270.0,bottom
R5,10k,R_0402_1005Metric,99.21875,-84.1375,270.0,bottom
R_USB1,5.1k,R_0402_1005Metric,63.5,-54.737,270.0,bottom
R_USB2,5.1k,R_0402_1005Metric,66.548,-54.737,270.0,bottom
R_USBSHIELD1,1M,R_0402_1005Metric,72.0344,-49.6336,90.0,bottom
SW1,SW_push,SW_SPST_SKQG_WithStem,104.775,-82.55,0.0,bottom
U2,STM32F072CBTx,LQFP-48_7x7mm_P0.5mm,75.184,-85.725,90.0,bottom
U3,XC6206PxxxMR-Regulator_Linear,SOT-23,65.4875,-80.9625,0.0,bottom
