Id,Designator,Footprint,Quantity,Designation,Supplier and ref
15,,bad433fe-e59e-4cc5-9a2c-e9a85b9d332d,1,,
18,"D7,D42,D48,D11,D58,D71,D52,D15,D38,D50,D62,D70,D16,D66,D18,D61,D41,D34,D65,D4,D14,D47,D57,D51,D49,D45,D17,D10,D19,D5,D64,D26,D36,D22,D31,D28,D63,D44,D68,D29,D24,D2,D6,D43,D32,D1,D69,D60,D27,D25,D33,D21,D12,D23,D59,D40,D8,D56,D37,D54,D55,D9,D3,D67,D13,D30,D46,D39,D35,D20,D53",D_SOD-123F(handsoldering),71,D_Small,
19,J2,JST-SR-4,1,Conn_01x04_MountingPin,
20,"C16,C17",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,2,1uF,
21,U3,SOT-23_Handsoldering,1,XC6206PxxxMR-Regulator_Linear,
22,"C10,C15,C12,C9,C11,C13",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,6,100nF,
23,R5,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,1,10k,
24,F1,Fuse_1206_3216Metric_Pad1.42x1.75mm_HandSolder,1,500mA,
25,"R_USB1,R_USB2",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,2,5.1k,
26,SW2,PinHeader_1x02_P2.54mm_Vertical,1,SW_push,
27,SW1,SW_SPST_SKQG_WithStem,1,SW_push,
28,J3,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0,
29,D72,SOT-143_Handsoldering,1,PRTR5V0U2X,
30,U2,LQFP-48_7x7mm_P0.5mm,1,STM32F072CBTx,
31,C14,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,1,10uF,
